timestamp,severity,pid,ppid,name,path,username,status,reason
2026-08-17 16:35:36,MEDIUM,14788,1700,UserOOBEBroker.exe,C:\Windows\System32\oobe\UserOOBEBroker.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15032,1504,NisSrv.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\NisSrv.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15052,1700,TextInputHost.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15140,2384,JSRtMon2.exe,C:\Program Files (x86)\Acer\Jumpstart Agent\JSRtMon2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15256,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15488,9420,RtkAudUService64.exe,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_0c755fff65745edd\RtkAudUService64.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15564,9420,ms-teams.exe,C:\Program Files\WindowsApps\MSTeams_26198.304.4946.9672_x64__8wekyb3d8bbwe\ms-teams.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15900,15564,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15928,15900,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,15940,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
